,GEOID,eviction_rate,mhi,family_bins,elder_bins,majority_race,corp_bins
0,25017373100,0.0076886112445939455,133945,mixed,some elders,White,low
1,25017373600,0.005911330049261084,241500,family,some elders,White,low
2,25025000201,0.01878238341968912,112244,non-family,some elders,White,medium
3,25025000202,0.018843404808317088,84938,mixed,some elders,White,medium
4,25025000301,0.007751937984496124,125828,non-family,some elders,White,medium
5,25025000302,0.0045351473922902496,103234,mixed,some elders,White,low
6,25025000401,0.006425431180250254,77683,non-family,some elders,White,medium
7,25025000402,0.005960264900662252,101583,non-family,some elders,White,medium
8,25025000502,0.015316205533596838,76458,non-family,some elders,White,high
9,25025000503,0.006373937677053824,85417,non-family,some elders,White,low
10,25025000601,0.011673151750972763,114479,non-family,some elders,White,medium
11,25025000701,0.0234375,72382,non-family,no elders,White,high
12,25025000703,0.028136882129277566,44674,non-family,no elders,White,high
13,25025000704,0.037429111531190926,66315,non-family,no elders,White,high
14,25025010103,0.00819672131147541,34804,non-family,no elders,White,high
15,25025010104,0.011207335710646969,59063,non-family,some elders,White,high
16,25025010204,0.02145922746781116,47750,non-family,no elders,White,high
17,25025010300,0.03785488958990536,56953,non-family,no elders,White,medium
18,25025010403,0.03433055419323198,35853,non-family,some elders,White,high
19,25025010404,0.010179640718562874,24821,non-family,no elders,White,high
20,25025010405,0.044956140350877194,18125,non-family,some elders,White,high
21,25025010408,0.019933554817275746,67832,non-family,no elders,White,high
22,25025010500,0.013905683192261185,49772,non-family,some elders,White,high
23,25025010600,0.02923433874709977,93415,non-family,some elders,White,high
24,25025010701,0.004989308624376337,130417,non-family,some elders,White,high
25,25025010702,0.005216095380029807,141250,non-family,some elders,White,high
26,25025010801,0.003069367710251688,119125,non-family,some elders,White,medium
27,25025010802,0.007679648930334613,132981,non-family,some elders,White,high
28,25025020101,0.004166666666666667,158278,non-family,some elders,White,high
29,25025020200,0.014963659683625482,102642,non-family,some elders,White,high
30,25025020301,0.017977528089887642,112045,non-family,some elders,White,high
31,25025020302,0.04032258064516129,126250,non-family,some elders,White,high
32,25025030100,0.0038729666924864447,101667,non-family,some elders,White,high
33,25025030200,0.009191176470588236,110063,non-family,some elders,White,high
34,25025030400,0.0028913672036348617,104514,non-family,some elders,White,high
35,25025030500,0.003963011889035667,114107,non-family,some elders,White,high
36,25025040100,0.0016652789342214821,165926,mixed,some elders,White,low
37,25025040200,0.012519561815336464,138036,mixed,some elders,White,low
38,25025040300,0.009401286491835725,155959,mixed,some elders,White,low
39,25025040401,0.028662420382165606,110964,mixed,some elders,White,low
40,25025040600,0.043213296398891966,165556,mixed,some elders,White,high
41,25025040801,0.013930348258706468,100446,mixed,some elders,White,medium
42,25025050101,0.04718590108015918,67632,mixed,some elders,Latino,medium
43,25025050200,0.0372972972972973,71402,mixed,some elders,Latino,high
44,25025050300,0.08588235294117647,54811,non-family,some elders,White,high
45,25025050400,0.030977734753146177,86118,mixed,some elders,White,high
46,25025050500,0.029315960912052116,97892,mixed,no elders,Latino,high
47,25025050600,0.03601440576230492,69167,mixed,no elders,Latino,high
48,25025050700,0.03515625,65667,mixed,no elders,Latino,high
49,25025050901,0.030453257790368272,80809,family,some elders,Latino,high
50,25025051000,0.0686106346483705,65875,mixed,some elders,Latino,medium
51,25025051101,0.023851590106007067,61102,family,some elders,Latino,medium
52,25025051200,0.038581207218419414,103482,mixed,some elders,White,medium
53,25025060101,0.002824858757062147,152697,non-family,some elders,White,medium
54,25025060200,0.0019175455417066154,138804,non-family,some elders,White,medium
55,25025060301,0.005868544600938967,161097,non-family,some elders,White,medium
56,25025060400,0.007980845969672785,147401,non-family,some elders,White,medium
57,25025060501,0.006983849847228284,145052,non-family,some elders,White,medium
58,25025060800,0.005879882402351953,148750,non-family,some elders,White,medium
59,25025061000,0.02702702702702703,72985,mixed,some elders,White,medium
60,25025061101,0.028830313014827018,12300,mixed,some elders,Latino,medium
61,25025070402,0.08013937282229965,64750,non-family,some elders,White,high
62,25025070600,0.004344048653344918,206667,mixed,some elders,White,medium
63,25025070700,0.05271439811172305,128313,mixed,some elders,White,medium
64,25025071101,0.07645403377110695,81073,non-family,some elders,White,medium
65,25025071201,0.03171521035598705,76366,mixed,some elders,White,high
66,25025080100,0.1348464619492657,42563,mixed,some elders,Black,high
67,25025080300,0.13205282112845138,41211,family,some elders,Black,high
68,25025080401,0.10632183908045977,22212,mixed,some elders,Latino,high
69,25025080500,0.08127721335268505,39625,mixed,some elders,Latino,high
70,25025080601,0.09651741293532339,14590,non-family,no elders,White,high
71,25025080801,0.07581573896353166,28295,mixed,some elders,Latino,high
72,25025080900,0.025981205085682697,72208,non-family,some elders,White,high
73,25025081001,0.045816733067729085,37453,non-family,some elders,Other,high
74,25025081200,0.03178294573643411,25580,family,some elders,Latino,high
75,25025081400,0.07060333761232349,59464,mixed,some elders,Black,medium
76,25025081500,0.07329842931937172,63144,mixed,some elders,Black,medium
77,25025081700,0.11019108280254777,30349,mixed,some elders,Black,medium
78,25025081800,0.07971014492753623,33646,mixed,some elders,Black,medium
79,25025081900,0.10999281092739037,60183,family,some elders,Black,high
80,25025082000,0.08778930566640064,69041,mixed,some elders,Black,medium
81,25025082100,0.17712355212355213,26547,mixed,some elders,Black,high
82,25025090100,0.11671232876712329,33652,family,some elders,Black,medium
83,25025090200,0.13563501849568435,39773,family,some elders,Latino,high
84,25025090300,0.14135702746365106,33824,family,some elders,Black,high
85,25025090400,0.06676557863501484,54670,family,some elders,Black,medium
86,25025090600,0.05829015544041451,45526,family,some elders,Other,medium
87,25025090700,0.06631927996210327,75972,non-family,some elders,White,high
88,25025091001,0.03594351732991014,90893,mixed,some elders,White,medium
89,25025091100,0.02511773940345369,108079,mixed,some elders,White,medium
90,25025091200,0.04235880398671096,71125,mixed,some elders,White,medium
91,25025091300,0.08059023836549375,35078,family,some elders,Other,medium
92,25025091400,0.0893574297188755,45990,family,some elders,Black,medium
93,25025091500,0.05330882352941176,56203,family,some elders,Other,low
94,25025091600,0.06282271944922548,71111,mixed,some elders,Other,high
95,25025091700,0.07357512953367876,56772,family,some elders,Black,low
96,25025091800,0.06666666666666667,39674,family,some elders,Black,medium
97,25025091900,0.11070911722141824,56750,family,some elders,Black,low
98,25025092000,0.08416458852867831,61786,family,some elders,Black,low
99,25025092101,0.05553287055941201,53102,family,some elders,Other,medium
100,25025092200,0.05086136177194422,85132,family,some elders,Black,low
101,25025092300,0.08663594470046083,71667,family,some elders,Black,medium
102,25025092400,0.1209324915007285,39850,family,some elders,Black,high
103,25025100100,0.07875264270613108,36471,family,some elders,Black,medium
104,25025100200,0.09647302904564316,58958,family,some elders,Black,medium
105,25025100300,0.07027463651050081,65417,family,some elders,Black,low
106,25025100400,0.06451612903225806,94352,family,some elders,Black,low
107,25025100500,0.07124789207419899,49644,family,some elders,Black,medium
108,25025100601,0.03239637922820391,99207,mixed,some elders,White,low
109,25025100603,0.01698754246885617,123169,mixed,some elders,White,medium
110,25025100700,0.01026694045174538,125094,mixed,some elders,White,low
111,25025100800,0.04366306027820711,88984,mixed,some elders,White,low
112,25025100900,0.035350509286998205,95375,family,some elders,Black,low
113,25025101001,0.09116149930587691,81218,family,some elders,Black,low
114,25025101002,0.09896068685042927,50671,family,some elders,Black,low
115,25025101101,0.072992700729927,59226,family,some elders,Black,low
116,25025101102,0.11981865284974093,48393,family,some elders,Black,low
117,25025110201,0.10754017305315204,67895,family,some elders,Latino,low
118,25025110301,0.019791666666666666,90833,family,some elders,White,low
119,25025110401,0.029239766081871343,78468,family,some elders,White,low
120,25025110403,0.013325608342989572,111328,family,some elders,White,low
121,25025110501,0.004548900682335102,116731,family,some elders,White,low
122,25025110502,0.01555023923444976,106717,mixed,some elders,White,low
123,25025110601,0.004480286738351254,134464,family,some elders,White,low
124,25025110607,0.0074211502782931356,137821,mixed,some elders,White,low
125,25025120103,0.004322766570605188,196563,mixed,some elders,White,medium
126,25025120104,0.004595588235294118,112056,mixed,some elders,White,low
127,25025120105,0.0022172949002217295,163884,family,some elders,White,low
128,25025120201,0.05174035747883349,91200,mixed,some elders,White,medium
129,25025120301,0.0369620253164557,109079,mixed,some elders,White,medium
130,25025120400,0.024062278839348902,122569,mixed,some elders,White,low
131,25025120500,0.01829924650161464,127500,mixed,some elders,White,medium
132,25025120600,0.0053811659192825115,130000,mixed,some elders,White,low
133,25025120700,0.011811023622047244,123700,mixed,some elders,White,low
134,25025130200,0.007882291119285338,122266,family,some elders,White,low
135,25025130300,0.00859106529209622,135966,family,some elders,White,low
136,25025130402,0.029217719132893498,99708,mixed,some elders,White,low
137,25025130404,0.022116903633491312,85066,mixed,some elders,White,low
138,25025130406,0.09788469514724181,44115,mixed,some elders,Black,low
139,25025140102,0.03416856492027335,112927,family,some elders,Black,low
140,25025140105,0.02641802641802642,91488,family,some elders,Latino,low
141,25025140106,0.1681127982646421,33235,mixed,some elders,Black,low
142,25025140107,0.026590693257359924,87826,family,some elders,Black,low
143,25025140201,0.07362637362637363,100179,family,some elders,White,medium
144,25025140202,0.030732860520094562,110179,family,some elders,White,low
145,25025140300,0.06356773937226858,80696,family,some elders,Black,medium
146,25025140400,0.058989756269869305,67260,family,some elders,Black,low
147,25025980300,0.0,,non-family,some elders,Black,low
148,25025980700,0.5,,family,,Other,low
149,25025981000,0.0,,family,,Latino,low
150,25025981100,13.5,,family,no elders,Latino,high
151,25025981201,,,,,Latino,low
152,25025981202,0.0,,,,Other,high
153,25025981502,0.25,,family,some elders,Latino,high
154,25025981700,0.0,,family,,Other,medium
155,25025981800,0.25,,mixed,some elders,White,low
